============================================================
训练日志
============================================================

Epoch    Loss         Acc          Val Loss     Val Acc     
------------------------------------------------------------
1        0.4128       0.8363       0.1663       0.9633      
2        0.2373       0.9310       0.0812       0.9817      
3        0.2014       0.9310       0.0781       0.9817      
4        0.1736       0.9389       0.0597       0.9908      
5        0.1371       0.9606       0.0576       0.9908      
6        0.1464       0.9586       0.0642       0.9817      
7        0.1313       0.9566       0.0596       0.9908      
8        0.1187       0.9684       0.0637       0.9817      
9        0.1135       0.9684       0.0703       0.9817      
10       0.1173       0.9645       0.0544       0.9908      
11       0.1085       0.9684       0.0625       0.9817      
12       0.1027       0.9724       0.0584       0.9817      
13       0.1083       0.9744       0.0666       0.9817      
14       0.0946       0.9744       0.0618       0.9817      
15       0.0918       0.9704       0.0593       0.9817      
16       0.0904       0.9763       0.0543       0.9817      
17       0.0871       0.9763       0.0543       0.9817      
18       0.0871       0.9744       0.0566       0.9817      
19       0.0813       0.9803       0.0488       0.9817      
20       0.0783       0.9783       0.0446       0.9908      
21       0.0852       0.9704       0.0462       0.9908      
22       0.0747       0.9783       0.0407       0.9908      
23       0.0681       0.9783       0.0425       0.9908      
24       0.0564       0.9862       0.0388       0.9908      
25       0.0585       0.9842       0.0443       0.9908      
26       0.0498       0.9822       0.0399       0.9908      
27       0.0572       0.9822       0.0382       0.9908      
28       0.0604       0.9862       0.0345       0.9908      
29       0.0539       0.9842       0.0397       0.9817      
30       0.0586       0.9842       0.0338       0.9908      
31       0.0443       0.9882       0.0382       0.9908      
32       0.0471       0.9882       0.0382       0.9817      
33       0.0471       0.9862       0.0358       0.9817      
34       0.0465       0.9842       0.0392       0.9817      
35       0.0486       0.9901       0.0370       0.9908      
36       0.0434       0.9882       0.0318       0.9908      
37       0.0362       0.9901       0.0340       0.9908      
38       0.0464       0.9882       0.0321       0.9817      
39       0.0428       0.9901       0.0425       0.9817      
40       0.0363       0.9921       0.0292       0.9908      
41       0.0384       0.9882       0.0350       0.9817      
42       0.0344       0.9921       0.0357       0.9817      
43       0.0380       0.9901       0.0342       0.9817      
44       0.0331       0.9921       0.0334       0.9817      
45       0.0317       0.9941       0.0423       0.9817      
46       0.0331       0.9921       0.0349       0.9817      
47       0.0359       0.9901       0.0366       0.9817      
48       0.0335       0.9901       0.0284       0.9817      
49       0.0247       0.9921       0.0306       0.9817      
50       0.0291       0.9921       0.0353       0.9817      
51       0.0289       0.9941       0.0220       0.9817      
52       0.0314       0.9921       0.0264       0.9817      
53       0.0326       0.9921       0.0299       0.9817      
54       0.0271       0.9961       0.0272       0.9817      
55       0.0265       0.9941       0.0266       0.9817      
56       0.0269       0.9941       0.0245       0.9908      
57       0.0256       0.9961       0.0308       0.9817      
58       0.0254       0.9961       0.0241       0.9908      
59       0.0220       0.9961       0.0360       0.9817      
60       0.0251       0.9961       0.0265       0.9817      
61       0.0223       0.9961       0.0224       0.9908      
62       0.0199       0.9961       0.0219       0.9908      
63       0.0129       0.9961       0.0228       0.9817      
64       0.0196       0.9941       0.0291       0.9817      
65       0.0172       0.9961       0.0246       0.9817      
66       0.0207       0.9961       0.0230       0.9908      
67       0.0256       0.9921       0.0311       0.9817      
68       0.0217       0.9941       0.0388       0.9817      
69       0.0211       0.9961       0.0220       0.9908      
70       0.0227       0.9921       0.0246       0.9908      
71       0.0216       0.9961       0.0267       0.9908      
72       0.0252       0.9941       0.0234       0.9908      
73       0.0197       0.9961       0.0264       0.9908      
74       0.0205       0.9941       0.0294       0.9817      
75       0.0132       0.9980       0.0263       0.9817      
76       0.0229       0.9961       0.0223       0.9908      
77       0.0201       0.9961       0.0256       0.9908      
78       0.0205       0.9961       0.0253       0.9817      
79       0.0183       0.9980       0.0244       0.9908      
80       0.0203       0.9980       0.0238       0.9908      
81       0.0161       0.9980       0.0241       0.9908      
82       0.0197       0.9980       0.0257       0.9908      
